"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","","99","OTHER COUNTIES","","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","157","2.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","CENTRAL","40","DE WITT","039","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","200.5","2.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","CENTRAL","40","LOGAN","107","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","209.6","1.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","CENTRAL","40","MACON","115","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","209.2","1.0"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","CENTRAL","40","MARSHALL","123","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","206","1.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","CENTRAL","40","MASON","125","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","194.6","2.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","CENTRAL","40","MCLEAN","113","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","200.7","1.6"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","CENTRAL","40","MENARD","129","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","215.2","1.6"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","CENTRAL","40","PEORIA","143","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","213.6","3.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","CENTRAL","40","STARK","175","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","211.3","1.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","CENTRAL","40","TAZEWELL","179","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","195.9","4.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","CENTRAL","40","WOODFORD","203","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","198.7","3.1"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST","50","CHAMPAIGN","019","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","192.7","3.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST","50","FORD","053","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","191.3","2.8"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST","50","IROQUOIS","075","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","190.2","1.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST","50","KANKAKEE","091","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","172.2","2.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST","50","LIVINGSTON","105","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","181.4","2.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST","50","PIATT","147","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","210.6","1.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST","50","VERMILION","183","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","190","3.6"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","CLARK","023","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","199.4","1.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","CLAY","025","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","169.7","3.5"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","COLES","029","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","202.7","2.0"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","CRAWFORD","033","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","179.2","4.0"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","CUMBERLAND","035","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","185.8","2.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","DOUGLAS","041","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","205.7","2.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","EDGAR","045","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","188.9","4.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","EFFINGHAM","049","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","190.8","3.4"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","FAYETTE","051","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","181.9","3.0"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","JASPER","079","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","176.8","3.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","LAWRENCE","101","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","170.4","2.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","MARION","121","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","184.1","2.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","MOULTRIE","139","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","202.9","1.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","RICHLAND","159","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","166.3","3.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","EAST SOUTHEAST","70","SHELBY","173","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","193.9","1.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHEAST","20","BOONE","007","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","192.2","1.1"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHEAST","20","DE KALB","037","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","190.2","2.5"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHEAST","20","GRUNDY","063","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","184","2.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHEAST","20","KANE","089","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","175.9","3.1"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHEAST","20","KENDALL","093","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","182.1","2.0"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHEAST","20","LA SALLE","099","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","185.3","1.4"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHEAST","20","LAKE","097","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","164.7","2.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHEAST","20","MCHENRY","111","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","179.4","2.8"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHEAST","20","WILL","197","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","174.2","2.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","BUREAU","011","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","199.4","3.1"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","CARROLL","015","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","199.7","1.6"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","HENRY","073","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","207.9","1.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","JO DAVIESS","085","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","193.3","2.8"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","LEE","103","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","194","2.4"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","MERCER","131","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","191.1","3.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","OGLE","141","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","190.8","4.4"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","PUTNAM","155","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","195.3","3.0"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","ROCK ISLAND","161","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","198.3","1.8"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","STEPHENSON","177","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","203.9","2.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","WHITESIDE","195","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","185.7","3.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","NORTHWEST","10","WINNEBAGO","201","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","192","1.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHEAST","90","EDWARDS","047","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","173.3","2.5"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHEAST","90","FRANKLIN","055","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","163.7","4.6"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHEAST","90","GALLATIN","059","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","176.7","1.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHEAST","90","HAMILTON","065","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","169.5","2.6"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHEAST","90","JEFFERSON","081","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","152.1","2.1"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHEAST","90","MASSAC","127","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","163.3","4.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHEAST","90","POPE","151","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","186","2.1"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHEAST","90","SALINE","165","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","191","3.5"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHEAST","90","WABASH","185","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","170.8","1.8"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHEAST","90","WAYNE","191","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","169.7","2.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHEAST","90","WHITE","193","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","176.7","2.5"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","ALEXANDER","003","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","181.7","2.4"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","CLINTON","027","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","176","1.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","JACKSON","077","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","176.4","3.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","JOHNSON","087","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","165.1","5.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","MONROE","133","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","157","1.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","PERRY","145","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","158.8","5.1"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","PULASKI","153","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","175.4","3.7"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","RANDOLPH","157","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","167.1","2.4"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","ST CLAIR","163","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","162.4","3.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","UNION","181","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","154.6","2.8"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","WASHINGTON","189","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","180","2.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","SOUTHWEST","80","WILLIAMSON","199","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","155.5","4.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST","30","ADAMS","001","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","177.5","3.0"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST","30","BROWN","009","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","181.3","3.0"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST","30","FULTON","057","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","183.9","2.1"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST","30","HANCOCK","067","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","203.5","2.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST","30","HENDERSON","071","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","199.4","2.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST","30","KNOX","095","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","203.9","1.5"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST","30","MCDONOUGH","109","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","198.1","1.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST","30","SCHUYLER","169","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","182.8","1.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST","30","WARREN","187","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","210","1.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","BOND","005","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","185.6","2.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","CALHOUN","013","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","176.6","2.6"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","CASS","017","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","204.8","2.1"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","CHRISTIAN","021","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","198.1","2.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","GREENE","061","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","190.7","1.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","JERSEY","083","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","192.2","2.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","MACOUPIN","117","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","191.9","1.9"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","MADISON","119","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","185.9","1.8"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","MONTGOMERY","135","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","190.8","1.3"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","MORGAN","137","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","202.9","3.1"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","PIKE","149","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","184.5","2.2"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","SANGAMON","167","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","202.8","1.8"
"SURVEY","2020","YEAR","","COUNTY","ILLINOIS","17","WEST SOUTHWEST","60","SCOTT","171","","","00000000","","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","188.2","2.4"
